Dendrocolaptes ridgwayi,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-barrado-do-tapajós,Ridgway's Woodcreeper,,
Dendrocolaptes retentus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-barrado-do-xingu,Xingu Woodcreeper,,
Dendrocolaptes medius,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-barrado-do-leste,Todd's Woodcreeper,,
Dendrocolaptes picumnus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-meio-barrado,Black-banded Woodcreeper,,
Dendrocolaptes hoffmannsi,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-marrom,Hoffmanns's Woodcreeper,VU,
Dendrocolaptes platyrostris,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-grande,Planalto Woodcreeper,,
Xiphocolaptes promeropirhynchus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-vermelho,Strong-billed Woodcreeper,,
Xiphocolaptes carajaensis,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-carajás,Carajas Woodcreeper,,
Xiphocolaptes falcirostris,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-nordeste,Moustached Woodcreeper,VU,
Xiphocolaptes albicollis,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-garganta-branca,White-throated Woodcreeper,,
Xiphocolaptes major,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-campo,Great Rufous Woodcreeper,,
Hylexetastes stresemanni,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-barriga-pintada,Bar-bellied Woodcreeper,,
Hylexetastes perrotii,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-vermelho,Red-billed Woodcreeper,,
Hylexetastes uniformis,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-uniforme,Uniform Woodcreeper,,
Hylexetastes brigidai,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-loro-cinza,Brigida's Woodcreeper,,
Xenops tenuirostris,Passeriformes,Dendrocolaptinae,Xenopidae,bico-virado-fino,Slender-billed Xenops,,
Xenops minutus,Passeriformes,Dendrocolaptinae,Xenopidae,bico-virado-miúdo,Plain Xenops,,
Xenops rutilans,Passeriformes,Dendrocolaptinae,Xenopidae,bico-virado-carijó,Streaked Xenops,,
Berlepschia rikeri,Passeriformes,Berlepschiinae,Furnariidae,limpa-folha-do-buriti,Point-tailed Palmcreeper,,
Microxenops milleri,Passeriformes,Pygarrhichinae,Furnariidae,bico-virado-da-copa,Rufous-tailed Xenops,,
Tarphonomus certhioides,Passeriformes,Furnariinae,Furnariidae,joão-chaquenho,Chaco Earthcreeper,,
Cinclodes espinhacensis,Passeriformes,Furnariinae,Furnariidae,pedreiro-do-espinhaço,Cipo Cinclodes,,
Cinclodes pabsti,Passeriformes,Furnariinae,Furnariidae,pedreiro,Long-tailed Cinclodes,NT,
Cinclodes fuscus,Passeriformes,Furnariinae,Furnariidae,pedreiro-dos-andes,Buff-winged Cinclodes,,
Furnarius figulus,Passeriformes,Furnariinae,Furnariidae,casaca-de-couro-da-lama,Wing-banded Hornero,,
Furnarius leucopus,Passeriformes,Furnariinae,Furnariidae,casaca-de-couro-amarelo,Pale-legged Hornero,,
Furnarius torridus,Passeriformes,Furnariinae,Furnariidae,joão-de-bico-pálido,Pale-billed Hornero,,
Furnarius minor,Passeriformes,Furnariinae,Furnariidae,joãozinho,Lesser Hornero,,
Furnarius rufus,Passeriformes,Furnariinae,Furnariidae,joão-de-barro,Rufous Hornero,,
Limnornis curvirostris,Passeriformes,Furnariinae,Furnariidae,joão-da-palha,Curve-billed Reedhaunter,,
Phleocryptes melanops,Passeriformes,Furnariinae,Furnariidae,bate-bico,Wren-like Rushbird,,
Lochmias nematura,Passeriformes,Furnariinae,Furnariidae,joão-porca,Sharp-tailed Streamcreeper,,
Ancistrops strigilatus,Passeriformes,Philydorinae,Furnariidae,limpa-folha-picanço,Chestnut-winged Hookbill,,
Clibanornis rectirostris,Passeriformes,Philydorinae,Furnariidae,cisqueiro-do-rio,Chestnut-capped Foliage-gleaner,,
Clibanornis dendrocolaptoides,Passeriformes,Philydorinae,Furnariidae,cisqueiro,Canebrake Groundcreeper,NT,
Clibanornis obscurus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-ferrugem,Dusky Foliage-gleaner,,
Clibanornis watkinsi,Passeriformes,Philydorinae,Furnariidae,barranqueiro-ferrugem-do-acre,Watkins's Foliage-gleaner,,
Automolus rufipileatus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-de-coroa-castanha,Chestnut-crowned Foliage-gleaner,,
Automolus melanopezus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-escuro,Brown-rumped Foliage-gleaner,,
Automolus cervicalis,Passeriformes,Philydorinae,Furnariidae,barranqueiro-pardo-do-norte,Olive-capped Foliage-gleaner,,
Automolus subulatus,Passeriformes,Philydorinae,Furnariidae,limpa-folha-riscado,Striped Woodhaunter,,
Automolus ochrolaemus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-camurça,Buff-throated Foliage-gleaner,,
Automolus infuscatus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-pardo,Olive-backed Foliage-gleaner,,
Automolus paraensis,Passeriformes,Philydorinae,Furnariidae,barranqueiro-do-pará,Para Foliage-gleaner,,
Automolus lammi,Passeriformes,Philydorinae,Furnariidae,barranqueiro-do-nordeste,Pernambuco Foliage-gleaner,EN,
Automolus leucophthalmus,Passeriformes,Philydorinae,Furnariidae,barranqueiro-de-olho-branco,White-eyed Foliage-gleaner,,
Megaxenops parnaguae,Passeriformes,Philydorinae,Furnariidae,bico-virado-da-caatinga,Great Xenops,,
Anabazenops dorsalis,Passeriformes,Philydorinae,Furnariidae,barranqueiro-de-topete,Dusky-cheeked Foliage-gleaner,,
