Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Tinamus tao,Tinamiformes,,Tinamidae,azulona,Gray Tinamou,VU,
Tinamus solitarius,Tinamiformes,,Tinamidae,macuco,Solitary Tinamou,NT,
Tinamus major,Tinamiformes,,Tinamidae,inambu-serra,Great Tinamou,NT,
Tinamus guttatus,Tinamiformes,,Tinamidae,inambu-galinha,White-throated Tinamou,NT,
Crypturellus cinereus,Tinamiformes,,Tinamidae,inambu-pixuna,Cinereous Tinamou,,
Crypturellus soui,Tinamiformes,,Tinamidae,tururim,Little Tinamou,,
Crypturellus obsoletus,Tinamiformes,,Tinamidae,inambuguaçu,Brown Tinamou,,
Crypturellus undulatus,Tinamiformes,,Tinamidae,jaó,Undulated Tinamou,,
Crypturellus strigulosus,Tinamiformes,,Tinamidae,inambu-relógio,Brazilian Tinamou,,
Crypturellus duidae,Tinamiformes,,Tinamidae,inambu-de-pé-cinza,Gray-legged Tinamou,NT,
Crypturellus erythropus,Tinamiformes,,Tinamidae,inambu-de-perna-vermelha,Red-legged Tinamou,,
Crypturellus noctivagus,Tinamiformes,,Tinamidae,jaó-do-sul,Yellow-legged Tinamou,NT,
Crypturellus atrocapillus,Tinamiformes,,Tinamidae,inambu-de-coroa-preta,Black-capped Tinamou,NT,
Crypturellus variegatus,Tinamiformes,,Tinamidae,inambu-anhangá,Variegated Tinamou,,
Crypturellus brevirostris,Tinamiformes,,Tinamidae,inambu-carijó,Rusty Tinamou,,
Crypturellus bartletti,Tinamiformes,,Tinamidae,inambu-anhangaí,Bartlett's Tinamou,,
Crypturellus parvirostris,Tinamiformes,,Tinamidae,inambu-chororó,Small-billed Tinamou,,
Crypturellus tataupa,Tinamiformes,,Tinamidae,inambu-chintã,Tataupa Tinamou,,
Rhynchotus rufescens,Tinamiformes,,Tinamidae,perdiz,Red-winged Tinamou,,
Nothura boraquira,Tinamiformes,,Tinamidae,codorna-do-nordeste,White-bellied Nothura,,
Nothura minor,Tinamiformes,,Tinamidae,codorna-mineira,Lesser Nothura,VU,
Nothura maculosa,Tinamiformes,,Tinamidae,codorna-amarela,Spotted Nothura,,
Taoniscus nanus,Tinamiformes,,Tinamidae,codorninha,Dwarf Tinamou,EN,
Anhima cornuta,Anseriformes,,Anhimidae,anhuma,Horned Screamer,,
Chauna torquata,Anseriformes,,Anhimidae,tachã,Southern Screamer,,
Dendrocygna bicolor,Anseriformes,Dendrocygninae,Anatidae,marreca-caneleira,Fulvous Whistling-Duck,,
Dendrocygna viduata,Anseriformes,Dendrocygninae,Anatidae,irerê,White-faced Whistling-Duck,,
Dendrocygna autumnalis,Anseriformes,Dendrocygninae,Anatidae,marreca-cabocla,Black-bellied Whistling-Duck,,
Cygnus melancoryphus,Anseriformes,Anserinae,Anatidae,cisne-de-pescoço-preto,Black-necked Swan,,
Coscoroba coscoroba,Anseriformes,Anserinae,Anatidae,capororoca,Coscoroba Swan,,
Chloephaga picta,Anseriformes,Anatinae,Anatidae,ganso-de-magalhães,Upland Goose,,
Neochen jubata,Anseriformes,Anatinae,Anatidae,pato-corredor,Orinoco Goose,NT,
Cairina moschata,Anseriformes,Anatinae,Anatidae,pato-do-mato,Muscovy Duck,,
Sarkidiornis sylvicola,Anseriformes,Anatinae,Anatidae,pato-de-crista,Comb Duck,,
Callonetta leucophrys,Anseriformes,Anatinae,Anatidae,marreca-de-coleira,Ringed Teal,,
Amazonetta brasiliensis,Anseriformes,Anatinae,Anatidae,ananaí,Brazilian Teal,,
Anas sibilatrix,Anseriformes,Anatinae,Anatidae,marreca-oveira,Chiloe Wigeon,,
Anas flavirostris,Anseriformes,Anatinae,Anatidae,marreca-pardinha,Yellow-billed Teal,,
Anas acuta,Anseriformes,Anatinae,Anatidae,arrabio,Northern Pintail,,
Anas georgica,Anseriformes,Anatinae,Anatidae,marreca-parda,Yellow-billed Pintail,,
Anas bahamensis,Anseriformes,Anatinae,Anatidae,marreca-toicinho,White-cheeked Pintail,,
Anas versicolor,Anseriformes,Anatinae,Anatidae,marreca-cricri,Silver Teal,,
Anas discors,Anseriformes,Anatinae,Anatidae,marreca-de-asa-azul,Blue-winged Teal,,
Anas cyanoptera,Anseriformes,Anatinae,Anatidae,marreca-colorada,Cinnamon Teal,,
Anas platalea,Anseriformes,Anatinae,Anatidae,marreca-colhereira,Red Shoveler,,
Netta erythrophthalma,Anseriformes,Anatinae,Anatidae,paturi-preta,Southern Pochard,,
Netta peposaca,Anseriformes,Anatinae,Anatidae,marrecão,Rosy-billed Pochard,,
Mergus octosetaceus,Anseriformes,Anatinae,Anatidae,pato-mergulhão,Brazilian Merganser,CR,
Heteronetta atricapilla,Anseriformes,Anatinae,Anatidae,marreca-de-cabeça-preta,Black-headed Duck,,
Nomonyx dominicus,Anseriformes,Anatinae,Anatidae,marreca-caucau,Masked Duck,,
Oxyura vittata,Anseriformes,Anatinae,Anatidae,marreca-rabo-de-espinho,Lake Duck,,
Penelope marail,Galliformes,Anatinae,Cracidae,jacumirim,Marail Guan,,
Penelope superciliaris,Galliformes,Anatinae,Cracidae,jacupemba,Rusty-margined Guan,,
Penelope jacquacu,Galliformes,Anatinae,Cracidae,jacu-de-spix,Spix's Guan,,
Penelope obscura,Galliformes,Anatinae,Cracidae,jacuguaçu,Dusky-legged Guan,,
Penelope pileata,Galliformes,Anatinae,Cracidae,jacupiranga,White-crested Guan,VU,
Penelope ochrogaster,Galliformes,Anatinae,Cracidae,jacu-de-barriga-castanha,Chestnut-bellied Guan,VU,
Penelope jacucaca,Galliformes,Anatinae,Cracidae,jacucaca,White-browed Guan,VU,
Aburria cumanensis,Galliformes,Anatinae,Cracidae,jacutinga-de-garganta-azul,Blue-throated Piping-Guan,,
Aburria cujubi,Galliformes,Anatinae,Cracidae,cujubi,Red-throated Piping-Guan,,
Aburria jacutinga,Galliformes,Anatinae,Cracidae,jacutinga,Black-fronted Piping-Guan,EN,
Ortalis canicollis,Galliformes,Anatinae,Cracidae,aracuã-do-pantanal,Chaco Chachalaca,,
Ortalis guttata,Galliformes,Anatinae,Cracidae,aracuã-pintado,Speckled Chachalaca,,
Ortalis araucuan,Galliformes,Anatinae,Cracidae,aracuã-de-barriga-branca,East Brazilian Chachalaca,,
Ortalis squamata,Galliformes,Anatinae,Cracidae,aracuã-escamoso,Scaled Chachalaca,,
Ortalis motmot,Galliformes,Anatinae,Cracidae,aracuã-pequeno,Variable Chachalaca,,
Ortalis superciliaris,Galliformes,Anatinae,Cracidae,aracuã-de-sobrancelhas,Buff-browed Chachalaca,,
Nothocrax urumutum,Galliformes,Anatinae,Cracidae,urumutum,Nocturnal Curassow,,
Crax alector,Galliformes,Anatinae,Cracidae,mutum-poranga,Black Curassow,VU,
Crax globulosa,Galliformes,Anatinae,Cracidae,mutum-de-fava,Wattled Curassow,EN,
Crax fasciolata,Galliformes,Anatinae,Cracidae,mutum-de-penacho,Bare-faced Curassow,VU,
Crax blumenbachii,Galliformes,Anatinae,Cracidae,mutum-de-bico-vermelho,Red-billed Curassow,EN,
Pauxi tomentosa,Galliformes,Anatinae,Cracidae,mutum-do-norte,Crestless Curassow,NT,
Pauxi tuberosa,Galliformes,Anatinae,Cracidae,mutum-cavalo,Razor-billed Curassow,,
Pauxi mitu,Galliformes,Anatinae,Cracidae,mutum-do-nordeste,Alagoas Curassow,EW,
Colinus cristatus,Galliformes,Anatinae,Odontophoridae,uru-do-campo,Crested Bobwhite,,
Odontophorus gujanensis,Galliformes,Anatinae,Odontophoridae,uru-corcovado,Marbled Wood-Quail,NT,
Odontophorus capueira,Galliformes,Anatinae,Odontophoridae,uru,Spot-winged Wood-Quail,,
Odontophorus stellatus,Galliformes,Anatinae,Odontophoridae,uru-de-topete,Starred Wood-Quail,,
Rollandia rolland,Podicipediformes,Anatinae,Podicipedidae,mergulhão-de-orelha-branca,White-tufted Grebe,,
